Tester	Tester_Gender	Testee	Testee_Gender	Logger	Logger_Gender	Ext_Rot_N_P1_Test1	Ext_Rot_N_P1_Test2	Ext_Rot_N_P1_Test3	Ext_Rot_N_P2_Test1	Ext_Rot_N_P2_Test2	Ext_Rot_N_P2_Test3	Int_Rot_N_P1_Test1	Int_Rot_N_P1_Test2	Int_Rot_N_P1_Test3	Int_Rot_N_P2_Test1	Int_Rot_N_P2_Test2	Int_Rot_N_P2_Test3
9ID0	f	LB1H	f	MCAO	f	114,0	113,4	109,8	nan	nan	nan	126,0	115,2	118,7	nan	nan	nan
9MJ0	f	J8KP	f	ZQBM	m	76,9	70,7	85,4	nan	nan	nan	91,2	88,5	96,5	nan	nan	nan
9OIM	f	9EOO	f	XO3D	m	nan	nan	nan	85,8	77,4	70,3	nan	nan	nan	137,0	117,0	112,8
9OIM	f	E8FP	m	9EOO	f	169,5	176,6	174,0	nan	nan	nan	191,7	177,9	169,0	nan	nan	nan
AJT0	f	B1BU	f	NYLS	m	nan	nan	nan	108,5	85,8	108,1	nan	nan	nan	128,1	116,5	113,9
AJT0	f	NYLS	m	B1BU	f	167,7	176,6	169,5	nan	nan	nan	193,9	224,2	193,9	nan	nan	nan
B01W	f	0W85	m	CV81	m	nan	nan	nan	213,1	225,1	207,3	nan	nan	nan	219,3	244,2	207,7
B01W	f	CV81	m	0W85	m	181,0	152,1	144,5	nan	nan	nan	168,1	186,4	173,0	nan	nan	nan
B1BU	f	AJT0	f	NYLS	m	115,6	111,0	119,2	nan	nan	nan	169,5	130,0	125,0	nan	nan	nan
B1BU	f	NYLS	m	AJT0	f	nan	nan	nan	167,7	150,8	161,9	nan	nan	nan	166,4	171,7	180,1
C0YZ	m	7847	f	GONF	f	nan	nan	nan	137,4	168,1	138,3	nan	nan	nan	178,4	166,4	176,1
C0YZ	m	7847	f	U24Z	f	144,1	154,8	137,9	nan	nan	nan	173,0	197,9	183,3	nan	nan	nan
C1BJ	m	4Z5T	f	MIV4	f	117,0	131,2	123,2	nan	nan	nan	154,3	151,7	146,3	nan	nan	nan
C1BJ	m	MIV4	f	4Z5T	f	nan	nan	nan	95,2	89,6	83,6	nan	nan	nan	97,4	98,7	115,2
C7WI	f	8SUE	f	9EMF	f	nan	nan	nan	86,7	84,0	79,6	nan	nan	nan	120,1	109,0	125,4
C7WI	f	9EMF	f	8SUE	f	88,5	84,5	79,1	nan	nan	nan	82,7	100,9	107,6	nan	nan	nan
C9OV	m	2AI2	m	SBL6	f	nan	nan	nan	139,2	131,6	174,4	nan	nan	nan	211,3	201,9	215,3
C9OV	m	SBL6	f	7IJJ	f	67,5	88,0	104,1	nan	nan	nan	143,0	150,0	134,3	nan	nan	nan
C9QY	f	0G2E	f	GWZ3	f	125,9	110,3	128,5	nan	nan	nan	160,6	177,0	111,2	nan	nan	nan
C9QY	f	GWZ3	f	IWEV	m	nan	nan	nan	127,6	142,8	116,5	nan	nan	nan	131,2	147,2	146,8
CNRK	f	NUBL	f	OELD	m	nan	nan	nan	90,3	74,7	73,8	nan	nan	nan	110,7	88,5	114,3
CNRK	f	OELD	m	NUBL	f	198,4	220,6	238,0	nan	nan	nan	273,4	267,8	240,2	nan	nan	nan
CV81	m	0W85	m	NE43	f	218,4	245,0	220,6	nan	nan	nan	258,0	225,1	206,4	nan	nan	nan
CV81	m	NE43	f	B01W	f	nan	nan	nan	121,0	123,6	132,1	nan	nan	nan	110,3	125,0	131,2
D63N	m	FOEB	m	71G1	m	165,0	141,0	156,1	nan	nan	nan	293,6	223,2	240,7	nan	nan	nan
D63N	m	QUVC	f	FOEB	m	nan	nan	nan	119,6	94,7	105,9	nan	nan	nan	148,6	148,6	157,9
DM6E	f	MLS0	f	HOLJ	m	145,0	150,8	152,1	nan	nan	nan	139,7	109,4	117,9	nan	nan	nan
DM6E	f	MLS0	f	RNV5	f	nan	nan	nan	154,3	153,0	149,0	nan	nan	nan	111,6	130,8	113,4
DPOA	m	GX1C	m	P2TB	m	152,1	146,3	112,1	nan	nan	nan	155,2	157,0	142,3	nan	nan	nan
DPOA	m	P2TB	m	GX1C	m	nan	nan	nan	92,5	126,3	149,0	nan	nan	nan	110,3	103,2	159,2
DQDJ	m	8LNG	m	WYMH	f	nan	nan	nan	187,7	150,0	155,4	nan	nan	nan	190,0	178,4	165,0
E8FP	m	9EOO	f	XO3D	m	103,2	109,0	88,9	nan	nan	nan	127,6	106,7	105,8	nan	nan	nan
E8FP	m	9OIM	f	9EOO	f	nan	nan	nan	100,0	130,0	124,0	nan	nan	nan	91,6	160,5	152,5
EBNE	m	3Y7T	f	KGRE	f	nan	nan	nan	77,4	93,4	91,6	nan	nan	nan	103,2	129,4	131,6
EBNE	m	4N1T	f	3Y7T	f	81,8	96,1	109,4	nan	nan	nan	113,4	92,0	93,4	nan	nan	nan
EQY3	f	7J9M	f	FW51	m	nan	nan	nan	99,0	86,0	100,0	nan	nan	nan	127,0	133,0	117,0
EQY3	f	FW51	m	2TT1	f	167,0	169,0	175,0	nan	nan	nan	224,0	234,0	186,0	nan	nan	nan
ESW0	f	OW8O	f	Q80H	m	nan	nan	nan	153,9	156,6	179,7	nan	nan	nan	205,5	203,3	198,4
ESW0	f	R19W	m	OW8O	f	199,7	185,9	189,5	nan	nan	nan	243,3	257,6	228,0	nan	nan	nan
ET9A	f	STFF	f	SYLZ	f	nan	nan	nan	133,4	121,9	133,0	nan	nan	nan	143,7	145,0	134,8
ET9A	f	SYLZ	f	STFF	f	111,6	114,3	104,1	nan	nan	nan	114,3	116,5	124,1	nan	nan	nan
FDHE	m	9MJ0	f	J8KP	f	111,6	97,4	101,8	nan	nan	nan	127,0	123,6	122,7	nan	nan	nan
FDHE	m	J8KP	f	9MJ0	f	nan	nan	nan	72,0	85,0	90,3	nan	nan	nan	93,0	87,6	89,8
FOEB	m	71G1	m	D63N	m	nan	nan	nan	147,8	173,5	180,6	nan	nan	nan	249,6	253,6	289,6
FOEB	m	71G1	m	QUVC	f	174,5	166,8	165,0	nan	nan	nan	274,9	249,6	233,5	nan	nan	nan
FV50	m	2ABW	f	VOFU	m	nan	nan	nan	98,3	102,7	104,3	nan	nan	nan	94,3	115,6	117,0
FV50	m	VOFU	m	2ABW	f	169,5	207,7	172,6	nan	nan	nan	220,2	269,6	225,5	nan	nan	nan
FW51	m	2TT1	f	7J9M	f	94,0	99,0	101,0	nan	nan	nan	105,0	127,0	146,0	nan	nan	nan
FW51	m	2TT1	f	EQY3	f	nan	nan	nan	90,0	103,0	97,0	nan	nan	nan	138,0	137,0	140,0
G5QJ	f	6QVB	f	L07I	f	nan	nan	nan	124,1	116,5	98,7	nan	nan	nan	128,9	112,5	112,1
G5QJ	f	PBAN	f	6QVB	f	105,4	95,6	94,7	nan	nan	nan	129,5	127,2	130,8	nan	nan	nan
GONF	f	C0YZ	m	7847	f	166,4	161,5	142,8	nan	nan	nan	142,3	222,9	176,6	nan	nan	nan
GONF	f	U24Z	f	C0YZ	m	nan	nan	nan	129,4	129,4	153,9	nan	nan	nan	130,8	145,0	148,1
GWZ3	f	IWEV	m	0G2E	f	nan	nan	nan	133,0	165,0	152,6	nan	nan	nan	196,0	181,0	173,5
GWZ3	f	IWEV	m	C9QY	f	127,2	146,3	147,2	nan	nan	nan	149,9	149,0	170,4	nan	nan	nan
GX1C	m	DPOA	m	P2TB	m	nan	nan	nan	137,0	125,0	141,9	nan	nan	nan	134,3	110,7	188,6
GX1C	m	P2TB	m	DPOA	m	142,3	139,2	106,7	nan	nan	nan	80,9	111,2	87,2	nan	nan	nan
HOLJ	m	DM6E	f	MLS0	f	nan	nan	nan	146,8	143,7	149,4	nan	nan	nan	154,8	137,9	160,0
HOLJ	m	RNV5	f	DM6E	f	90,0	97,0	71,1	nan	nan	nan	125,0	137,4	141,0	nan	nan	nan
HURM	m	I22H	f	YX6H	f	81,0	89,0	98,0	nan	nan	nan	121,0	112,0	137,0	nan	nan	nan
HURM	m	YX6H	f	I22H	f	nan	nan	nan	66,0	67,0	74,0	nan	nan	nan	107,0	110,0	113,0
I22H	f	HURM	m	YX6H	f	nan	nan	nan	204,0	208,0	237,0	nan	nan	nan	264,0	257,0	249,0
I22H	f	YX6H	f	HURM	m	74,0	77,0	78,0	nan	nan	nan	103,0	93,0	111,0	nan	nan	nan
IFBB	f	3DSL	f	LH1H	m	127,6	132,5	121,9	nan	nan	nan	170,4	158,3	143,2	nan	nan	nan
IFBB	f	LH1H	m	3DSL	f	nan	nan	nan	154,8	124,1	126,8	nan	nan	nan	147,2	145,0	134,3
IWEV	m	0G2E	f	C9QY	f	nan	nan	nan	131,3	107,2	128,5	nan	nan	nan	109,8	102,7	100,9
IWEV	m	C9QY	f	0G2E	f	85,4	87,6	83,2	nan	nan	nan	83,6	133,4	103,6	nan	nan	nan
J8KP	f	9MJ0	f	ZQBM	m	nan	nan	nan	99,2	91,6	91,6	nan	nan	nan	113,0	122,7	101,4
J8KP	f	ZQBM	m	FDHE	m	141,4	137,0	134,8	nan	nan	nan	122,3	115,2	131,6	nan	nan	nan
KGRE	f	4N1T	f	EBNE	m	nan	nan	nan	99,2	88,9	106,3	nan	nan	nan	80,0	151,0	111,6
KGRE	f	EBNE	m	4N1T	f	125,0	132,0	138,4	nan	nan	nan	119,6	181,0	188,6	nan	nan	nan
KIU5	f	SBJ4	f	MC2X	m	104,5	99,6	102,1	nan	nan	nan	141,4	155,7	152,6	nan	nan	nan
L07I	f	G5QJ	f	PBAN	f	102,7	123,6	123,6	nan	nan	nan	148,6	126,3	115,6	nan	nan	nan
L07I	f	PBAN	f	G5QJ	f	nan	nan	nan	113,4	105,8	111,2	nan	nan	nan	120,1	116,1	112,1
LB1H	f	MCAO	f	0PVW	f	150,3	135,2	138,8	nan	nan	nan	167,7	173,9	153,0	nan	nan	nan
LB1H	f	MCAO	f	9ID0	f	nan	nan	nan	136,1	119,2	131,6	nan	nan	nan	150,8	138,3	153,4
LH1H	m	3DSL	f	IFBB	f	nan	nan	nan	110,7	136,1	111,2	nan	nan	nan	104,1	167,2	173,5
LH1H	m	IFBB	f	3DSL	f	146,8	134,8	118,3	nan	nan	nan	96,5	137,9	119,6	nan	nan	nan
MC2X	m	XBJV	f	KIU5	f	74,5	77,2	80,6	nan	nan	nan	96,4	92,3	87,3	nan	nan	nan
MCAO	f	0PVW	f	9ID0	f	139,0	135,7	117,9	nan	nan	nan	134,3	130,3	130,3	nan	nan	nan
MCAO	f	9ID0	f	0PVW	f	nan	nan	nan	168,6	155,7	163,2	nan	nan	nan	179,3	180,6	177,0
MIV4	f	4Z5T	f	C1BJ	m	nan	nan	nan	136,5	138,3	113,9	nan	nan	nan	124,1	134,8	132,1
