Pairing	Cycle	Test_Repetition	Group	Tester	Tester_Gender	Testee	Testee_Gender	Logger	Logger_Gender	Ext_Rot_N	Int_Rot_N	Ext_Rot_Order	Int_Rot_Order
Pairing 2	11	3	Y7	G5QJ	f	6QVB	f	L07I	f	98,7	112,1	1	2
Pairing 1	2	1	Y7	G5QJ	f	PBAN	f	6QVB	f	105,4	129,5	1	2
Pairing 1	6	2	Y7	G5QJ	f	PBAN	f	6QVB	f	95,6	127,2	2	1
Pairing 1	10	3	Y7	G5QJ	f	PBAN	f	6QVB	f	94,7	130,8	1	2
Pairing 1	3	1	V7	GONF	f	C0YZ	m	7847	f	166,4	142,3	2	1
Pairing 1	7	2	V7	GONF	f	C0YZ	m	7847	f	161,5	222,9	1	2
Pairing 1	11	3	V7	GONF	f	C0YZ	m	7847	f	142,8	176,6	1	2
Pairing 2	2	1	V7	GONF	f	U24Z	f	C0YZ	m	129,4	130,8	2	1
Pairing 2	6	2	V7	GONF	f	U24Z	f	C0YZ	m	129,4	145,0	2	1
Pairing 2	10	3	V7	GONF	f	U24Z	f	C0YZ	m	153,9	148,1	1	2
Pairing 2	4	1	V7	GWZ3	f	IWEV	m	0G2E	f	133,0	196,0	1	2
Pairing 2	8	2	V7	GWZ3	f	IWEV	m	0G2E	f	165,0	181,0	2	1
Pairing 2	12	3	V7	GWZ3	f	IWEV	m	0G2E	f	152,6	173,5	2	1
Pairing 1	4	1	V7	GWZ3	f	IWEV	m	C9QY	f	127,2	149,9	2	1
Pairing 1	8	2	V7	GWZ3	f	IWEV	m	C9QY	f	146,3	149,0	2	1
Pairing 1	12	3	V7	GWZ3	f	IWEV	m	C9QY	f	147,2	170,4	2	1
Pairing 2	3	1	L3	GX1C	m	DPOA	m	P2TB	m	137,0	134,3	2	1
Pairing 2	6	2	L3	GX1C	m	DPOA	m	P2TB	m	125,0	110,7	2	1
Pairing 2	9	3	L3	GX1C	m	DPOA	m	P2TB	m	141,9	188,6	2	1
Pairing 1	2	1	L3	GX1C	m	P2TB	m	DPOA	m	142,3	80,9	2	1
Pairing 1	5	2	L3	GX1C	m	P2TB	m	DPOA	m	139,2	111,2	1	2
Pairing 1	8	3	L3	GX1C	m	P2TB	m	DPOA	m	106,7	87,2	2	1
Pairing 2	3	1	M1	HOLJ	m	DM6E	f	MLS0	f	146,8	154,8	1	2
Pairing 2	7	2	M1	HOLJ	m	DM6E	f	MLS0	f	143,7	137,9	2	1
Pairing 2	11	3	M1	HOLJ	m	DM6E	f	MLS0	f	149,4	160,0	2	1
Pairing 1	2	1	M1	HOLJ	m	RNV5	f	DM6E	f	90,0	125,0	2	1
Pairing 1	6	2	M1	HOLJ	m	RNV5	f	DM6E	f	97,0	137,4	2	1
Pairing 1	10	3	M1	HOLJ	m	RNV5	f	DM6E	f	71,1	141,0	1	2
Pairing 1	1	1	Y7	HURM	m	I22H	f	YX6H	f	81,0	121,0	2	1
Pairing 1	4	2	Y7	HURM	m	I22H	f	YX6H	f	89,0	112,0	1	2
Pairing 1	7	3	Y7	HURM	m	I22H	f	YX6H	f	98,0	137,0	2	1
Pairing 2	1	1	Y7	HURM	m	YX6H	f	I22H	f	66,0	107,0	1	2
Pairing 2	4	2	Y7	HURM	m	YX6H	f	I22H	f	67,0	110,0	2	1
Pairing 2	7	3	Y7	HURM	m	YX6H	f	I22H	f	74,0	113,0	1	2
Pairing 2	3	1	Y7	I22H	f	HURM	m	YX6H	f	204,0	264,0	2	1
Pairing 2	6	2	Y7	I22H	f	HURM	m	YX6H	f	208,0	257,0	2	1
Pairing 2	9	3	Y7	I22H	f	HURM	m	YX6H	f	237,0	249,0	2	1
Pairing 1	2	1	Y7	I22H	f	YX6H	f	HURM	m	74,0	103,0	2	1
Pairing 1	5	2	Y7	I22H	f	YX6H	f	HURM	m	77,0	93,0	1	2
Pairing 1	8	3	Y7	I22H	f	YX6H	f	HURM	m	78,0	111,0	2	1
Pairing 1	2	1	L3	IFBB	f	3DSL	f	LH1H	m	127,6	170,4	2	1
Pairing 1	5	2	L3	IFBB	f	3DSL	f	LH1H	m	132,5	158,3	1	2
Pairing 1	8	3	L3	IFBB	f	3DSL	f	LH1H	m	121,9	143,2	1	2
Pairing 2	3	1	L3	IFBB	f	LH1H	m	3DSL	f	154,8	147,2	1	2
Pairing 2	6	2	L3	IFBB	f	LH1H	m	3DSL	f	124,1	145,0	1	2
Pairing 2	9	3	L3	IFBB	f	LH1H	m	3DSL	f	126,8	134,3	2	1
Pairing 2	1	1	V7	IWEV	m	0G2E	f	C9QY	f	131,3	109,8	2	1
Pairing 2	5	2	V7	IWEV	m	0G2E	f	C9QY	f	107,2	102,7	1	2
Pairing 2	9	3	V7	IWEV	m	0G2E	f	C9QY	f	128,5	100,9	1	2
Pairing 1	1	1	V7	IWEV	m	C9QY	f	0G2E	f	85,4	83,6	2	1
Pairing 1	5	2	V7	IWEV	m	C9QY	f	0G2E	f	87,6	133,4	2	1
Pairing 1	9	3	V7	IWEV	m	C9QY	f	0G2E	f	83,2	103,6	2	1
Pairing 2	2	1	8J	J8KP	f	9MJ0	f	ZQBM	m	99,2	113,0	1	2
Pairing 2	6	2	8J	J8KP	f	9MJ0	f	ZQBM	m	91,6	122,7	2	1
Pairing 2	10	3	8J	J8KP	f	9MJ0	f	ZQBM	m	91,6	101,4	2	1
Pairing 1	3	1	8J	J8KP	f	ZQBM	m	FDHE	m	141,4	122,3	1	2
Pairing 1	7	2	8J	J8KP	f	ZQBM	m	FDHE	m	137,0	115,2	2	1
Pairing 1	11	3	8J	J8KP	f	ZQBM	m	FDHE	m	134,8	131,6	1	2
Pairing 2	1	1	T0	KGRE	f	4N1T	f	EBNE	m	99,2	80,0	2	1
Pairing 2	5	2	T0	KGRE	f	4N1T	f	EBNE	m	88,9	151,0	1	2
Pairing 2	9	3	T0	KGRE	f	4N1T	f	EBNE	m	106,3	111,6	2	1
Pairing 1	1	1	T0	KGRE	f	EBNE	m	4N1T	f	125,0	119,6	2	1
Pairing 1	5	2	T0	KGRE	f	EBNE	m	4N1T	f	132,0	181,0	1	2
Pairing 1	9	3	T0	KGRE	f	EBNE	m	4N1T	f	138,4	188,6	1	2
Pairing 1	1	1	M1	KIU5	f	SBJ4	f	MC2X	m	104,5	141,4	1	2
Pairing 1	5	2	M1	KIU5	f	SBJ4	f	MC2X	m	99,6	155,7	2	1
Pairing 1	9	3	M1	KIU5	f	SBJ4	f	MC2X	m	102,1	152,6	2	1
Pairing 1	1	1	Y7	L07I	f	G5QJ	f	PBAN	f	102,7	148,6	2	1
Pairing 1	5	2	Y7	L07I	f	G5QJ	f	PBAN	f	123,6	126,3	1	2
Pairing 1	9	3	Y7	L07I	f	G5QJ	f	PBAN	f	123,6	115,6	1	2
Pairing 2	1	1	Y7	L07I	f	PBAN	f	G5QJ	f	113,4	120,1	2	1
Pairing 2	5	2	Y7	L07I	f	PBAN	f	G5QJ	f	105,8	116,1	2	1
Pairing 2	9	3	Y7	L07I	f	PBAN	f	G5QJ	f	111,2	112,1	2	1
Pairing 1	4	1	L3	LB1H	f	MCAO	f	0PVW	f	150,3	167,7	1	2
Pairing 1	8	2	L3	LB1H	f	MCAO	f	0PVW	f	135,2	173,9	2	1
Pairing 1	12	3	L3	LB1H	f	MCAO	f	0PVW	f	138,8	153,0	2	1
Pairing 2	4	1	L3	LB1H	f	MCAO	f	9ID0	f	136,1	150,8	2	1
Pairing 2	8	2	L3	LB1H	f	MCAO	f	9ID0	f	119,2	138,3	1	2
Pairing 2	12	3	L3	LB1H	f	MCAO	f	9ID0	f	131,6	153,4	2	1
Pairing 2	1	1	L3	LH1H	m	3DSL	f	IFBB	f	110,7	104,1	1	2
Pairing 2	4	2	L3	LH1H	m	3DSL	f	IFBB	f	136,1	167,2	2	1
Pairing 2	7	3	L3	LH1H	m	3DSL	f	IFBB	f	111,2	173,5	2	1
Pairing 1	1	1	L3	LH1H	m	IFBB	f	3DSL	f	146,8	96,5	1	2
Pairing 1	4	2	L3	LH1H	m	IFBB	f	3DSL	f	134,8	137,9	1	2
Pairing 1	7	3	L3	LH1H	m	IFBB	f	3DSL	f	118,3	119,6	2	1
Pairing 1	3	1	M1	MC2X	m	XBJV	f	KIU5	f	74,5	96,4	1	2
Pairing 1	7	2	M1	MC2X	m	XBJV	f	KIU5	f	77,2	92,3	2	1
Pairing 1	11	3	M1	MC2X	m	XBJV	f	KIU5	f	80,6	87,3	2	1
Pairing 1	1	1	L3	MCAO	f	0PVW	f	9ID0	f	139,0	134,3	1	2
Pairing 1	5	2	L3	MCAO	f	0PVW	f	9ID0	f	135,7	130,3	2	1
Pairing 1	9	3	L3	MCAO	f	0PVW	f	9ID0	f	117,9	130,3	1	2
Pairing 2	1	1	L3	MCAO	f	9ID0	f	0PVW	f	168,6	179,3	2	1
Pairing 2	5	2	L3	MCAO	f	9ID0	f	0PVW	f	155,7	180,6	2	1
Pairing 2	9	3	L3	MCAO	f	9ID0	f	0PVW	f	163,2	177,0	2	1
Pairing 2	3	1	8J	MIV4	f	4Z5T	f	C1BJ	m	136,5	124,1	1	2
Pairing 2	6	2	8J	MIV4	f	4Z5T	f	C1BJ	m	138,3	134,8	2	1
Pairing 2	9	3	8J	MIV4	f	4Z5T	f	C1BJ	m	113,9	132,1	1	2
Pairing 1	2	1	8J	MIV4	f	C1BJ	m	4Z5T	f	163,7	173,2	1	2
Pairing 1	5	2	8J	MIV4	f	C1BJ	m	4Z5T	f	167,2	183,3	1	2
Pairing 1	8	3	8J	MIV4	f	C1BJ	m	4Z5T	f	152,6	196,6	1	2
Pairing 1	1	1	M1	MLS0	f	HOLJ	m	RNV5	f	182,8	303,8	1	2
Pairing 1	5	2	M1	MLS0	f	HOLJ	m	RNV5	f	203,7	268,5	1	2
Pairing 1	9	3	M1	MLS0	f	HOLJ	m	RNV5	f	147,2	264,2	2	1
Pairing 2	1	1	M1	MLS0	f	RNV5	f	HOLJ	m	92,5	124,1	1	2
Pairing 2	5	2	M1	MLS0	f	RNV5	f	HOLJ	m	86,3	121,0	2	1
Pairing 2	9	3	M1	MLS0	f	RNV5	f	HOLJ	m	73,4	124,1	2	1
Pairing 1	4	1	V7	MXT3	m	8YYM	f	54W1	m	86,7	93,4	1	2
Pairing 1	8	2	V7	MXT3	m	8YYM	f	54W1	m	77,4	109,8	1	2
Pairing 1	12	3	V7	MXT3	m	8YYM	f	54W1	m	101,4	105,8	2	1
Pairing 2	4	1	V7	MXT3	m	8YYM	f	URX1	f	90,3	100,9	1	2
Pairing 2	8	2	V7	MXT3	m	8YYM	f	URX1	f	100,9	93,4	2	1
Pairing 2	12	3	V7	MXT3	m	8YYM	f	URX1	f	74,7	89,4	1	2
Pairing 2	4	1	M1	NE43	f	B01W	f	0W85	m	104,5	116,1	2	1
Pairing 2	8	2	M1	NE43	f	B01W	f	0W85	m	104,1	116,5	1	2
Pairing 2	12	3	M1	NE43	f	B01W	f	0W85	m	93,4	111,2	2	1
Pairing 1	4	1	M1	NE43	f	B01W	f	CV81	m	99,6	129,0	2	1
Pairing 1	8	2	M1	NE43	f	B01W	f	CV81	m	99,2	121,9	2	1
Pairing 1	12	3	M1	NE43	f	B01W	f	CV81	m	125,4	130,3	2	1
Pairing 1	1	1	8J	NUBL	f	CNRK	f	OELD	m	111,6	137,4	2	1
Pairing 1	4	2	8J	NUBL	f	CNRK	f	OELD	m	101,8	131,2	1	2
Pairing 1	7	3	8J	NUBL	f	CNRK	f	OELD	m	97,4	133,9	1	2
Pairing 2	1	1	8J	NUBL	f	OELD	m	CNRK	f	206,4	211,3	1	2
Pairing 2	4	2	8J	NUBL	f	OELD	m	CNRK	f	207,7	196,2	1	2
Pairing 2	7	3	8J	NUBL	f	OELD	m	CNRK	f	208,2	206,4	1	2
Pairing 2	2	1	G8	NYLS	m	AJT0	f	B1BU	f	111,6	178,4	1	2
Pairing 2	5	2	G8	NYLS	m	AJT0	f	B1BU	f	127,2	162,1	2	1
Pairing 2	8	3	G8	NYLS	m	AJT0	f	B1BU	f	108,1	153,0	2	1
Pairing 1	3	1	G8	NYLS	m	B1BU	f	AJT0	f	73,8	113,0	2	1
Pairing 1	6	2	G8	NYLS	m	B1BU	f	AJT0	f	92,0	129,4	1	2
Pairing 1	9	3	G8	NYLS	m	B1BU	f	AJT0	f	75,6	109,0	2	1
Pairing 2	2	1	8J	OELD	m	CNRK	f	NUBL	f	105,4	118,3	2	1
Pairing 2	5	2	8J	OELD	m	CNRK	f	NUBL	f	101,8	150,3	2	1
Pairing 2	8	3	8J	OELD	m	CNRK	f	NUBL	f	97,4	114,7	2	1
Pairing 1	3	1	8J	OELD	m	NUBL	f	CNRK	f	88,9	102,7	2	1
Pairing 1	6	2	8J	OELD	m	NUBL	f	CNRK	f	91,2	96,9	2	1
Pairing 1	9	3	8J	OELD	m	NUBL	f	CNRK	f	78,7	101,4	1	2
Pairing 1	4	1	M1	OW8O	f	Q80H	m	ESW0	f	148,1	177,0	2	1
Pairing 1	8	2	M1	OW8O	f	Q80H	m	ESW0	f	151,2	185,9	1	2
Pairing 1	12	3	M1	OW8O	f	Q80H	m	ESW0	f	158,8	211,7	2	1
Pairing 2	4	1	M1	OW8O	f	Q80H	m	R19W	m	156,6	218,0	1	2
Pairing 2	8	2	M1	OW8O	f	Q80H	m	R19W	m	131,2	201,1	1	2
Pairing 2	12	3	M1	OW8O	f	Q80H	m	R19W	m	154,3	228,6	2	1
Pairing 1	3	1	L3	P2TB	m	DPOA	m	GX1C	m	154,8	231,3	2	1
Pairing 1	6	2	L3	P2TB	m	DPOA	m	GX1C	m	184,1	195,3	1	2
Pairing 1	9	3	L3	P2TB	m	DPOA	m	GX1C	m	135,2	153,0	1	2
Pairing 2	2	1	L3	P2TB	m	GX1C	m	DPOA	m	92,1	180,1	2	1
Pairing 2	5	2	L3	P2TB	m	GX1C	m	DPOA	m	142,3	184,6	2	1
Pairing 2	8	3	L3	P2TB	m	GX1C	m	DPOA	m	186,4	344,3	1	2
Pairing 1	3	1	Y7	PBAN	f	6QVB	f	L07I	f	91,6	112,5	2	1
Pairing 1	7	2	Y7	PBAN	f	6QVB	f	L07I	f	89,8	113,9	2	1
Pairing 1	11	3	Y7	PBAN	f	6QVB	f	L07I	f	99,2	119,2	2	1
Pairing 2	2	1	Y7	PBAN	f	G5QJ	f	6QVB	f	105,8	129,9	2	1
Pairing 2	6	2	Y7	PBAN	f	G5QJ	f	6QVB	f	103,6	124,1	1	2
Pairing 2	10	3	Y7	PBAN	f	G5QJ	f	6QVB	f	115,6	133,8	2	1
Pairing 1	3	1	G8	PIGD	m	QDH7	m	2BW9	f	173,5	209,1	2	1
Pairing 1	7	2	G8	PIGD	m	QDH7	m	2BW9	f	173,0	243,3	2	1
Pairing 1	11	3	G8	PIGD	m	QDH7	m	2BW9	f	158,3	204,6	1	2
Pairing 2	2	1	G8	PIGD	m	W7B5	f	QDH7	m	78,7	93,8	2	1
Pairing 2	6	2	G8	PIGD	m	W7B5	f	QDH7	m	80,0	109,0	2	1
Pairing 2	10	3	G8	PIGD	m	W7B5	f	QDH7	m	89,4	99,2	2	1
Pairing 1	1	1	G8	Q1CO	f	96H6	f	UQO6	f	94,3	145,4	2	1
Pairing 1	4	2	G8	Q1CO	f	96H6	f	UQO6	f	85,8	166,8	2	1
Pairing 1	7	3	G8	Q1CO	f	96H6	f	UQO6	f	94,3	137,0	1	2
Pairing 2	1	1	G8	Q1CO	f	UQO6	f	96H6	f	103,6	124,1	1	2
Pairing 2	4	2	G8	Q1CO	f	UQO6	f	96H6	f	112,1	143,2	2	1
Pairing 2	7	3	G8	Q1CO	f	UQO6	f	96H6	f	109,0	130,8	2	1
Pairing 1	1	1	M1	Q80H	m	ESW0	f	R19W	m	112,1	108,1	1	2
Pairing 1	5	2	M1	Q80H	m	ESW0	f	R19W	m	141,4	113,4	1	2
Pairing 1	9	3	M1	Q80H	m	ESW0	f	R19W	m	138,3	121,9	1	2
Pairing 2	1	1	M1	Q80H	m	R19W	m	ESW0	f	182,4	214,8	2	1
Pairing 2	5	2	M1	Q80H	m	R19W	m	ESW0	f	163,2	180,1	2	1
Pairing 2	9	3	M1	Q80H	m	R19W	m	ESW0	f	181,9	208,2	1	2
Pairing 2	4	1	G8	QDH7	m	2BW9	f	PIGD	m	100,9	145,0	1	2
Pairing 2	8	2	G8	QDH7	m	2BW9	f	PIGD	m	93,4	127,2	2	1
Pairing 2	12	3	G8	QDH7	m	2BW9	f	PIGD	m	106,3	138,3	1	2
Pairing 1	4	1	G8	QDH7	m	2BW9	f	W7B5	f	105,4	125,9	1	2
Pairing 1	8	2	G8	QDH7	m	2BW9	f	W7B5	f	96,1	145,0	1	2
Pairing 1	12	3	G8	QDH7	m	2BW9	f	W7B5	f	106,3	129,4	2	1
Pairing 1	2	1	V7	QUVC	f	D63N	m	FOEB	m	173,5	236,6	2	1
Pairing 1	6	2	V7	QUVC	f	D63N	m	FOEB	m	151,2	261,1	2	1
Pairing 1	10	3	V7	QUVC	f	D63N	m	FOEB	m	156,1	248,2	1	2
Pairing 2	3	1	V7	QUVC	f	FOEB	m	71G1	m	161,0	251,3	2	1
Pairing 2	7	2	V7	QUVC	f	FOEB	m	71G1	m	191,7	247,3	2	1
Pairing 2	11	3	V7	QUVC	f	FOEB	m	71G1	m	179,3	249,2	1	2
Pairing 2	2	1	M1	R19W	m	ESW0	f	OW8O	f	155,7	111,6	1	2
Pairing 2	6	2	M1	R19W	m	ESW0	f	OW8O	f	141,0	92,5	1	2
Pairing 2	10	3	M1	R19W	m	ESW0	f	OW8O	f	152,1	102,7	1	2
Pairing 1	3	1	M1	R19W	m	OW8O	f	Q80H	m	121,9	175,2	2	1
Pairing 1	7	2	M1	R19W	m	OW8O	f	Q80H	m	120,5	143,2	2	1
Pairing 1	11	3	M1	R19W	m	OW8O	f	Q80H	m	114,7	144,5	1	2
Pairing 1	3	1	M1	RNV5	f	DM6E	f	MLS0	f	125,5	174,4	1	2
Pairing 1	7	2	M1	RNV5	f	DM6E	f	MLS0	f	136,1	128,1	2	1
Pairing 1	11	3	M1	RNV5	f	DM6E	f	MLS0	f	141,0	120,5	1	2
Pairing 2	2	1	M1	RNV5	f	HOLJ	m	DM6E	f	151,7	242,0	1	2
Pairing 2	6	2	M1	RNV5	f	HOLJ	m	DM6E	f	146,8	251,8	2	1
Pairing 2	10	3	M1	RNV5	f	HOLJ	m	DM6E	f	151,2	230,0	2	1
Pairing 1	2	1	M1	SBJ4	f	MC2X	m	XBJV	f	162,8	173,9	2	1
Pairing 1	6	2	M1	SBJ4	f	MC2X	m	XBJV	f	146,8	175,7	1	2
Pairing 1	10	3	M1	SBJ4	f	MC2X	m	XBJV	f	164,5	180,2	1	2
Pairing 1	4	1	Y7	SBL6	f	7IJJ	f	2AI2	m	96,5	154,6	1	2
Pairing 1	8	2	Y7	SBL6	f	7IJJ	f	2AI2	m	125,0	179,3	2	1
Pairing 1	12	3	Y7	SBL6	f	7IJJ	f	2AI2	m	115,6	130,3	2	1
Pairing 2	4	1	Y7	SBL6	f	7IJJ	f	C9OV	m	101,4	136,5	2	1
Pairing 2	8	2	Y7	SBL6	f	7IJJ	f	C9OV	m	115,2	129,0	1	2
Pairing 2	12	3	Y7	SBL6	f	7IJJ	f	C9OV	m	100,5	118,3	1	2
Pairing 1	3	1	L3	STFF	f	ET9A	f	SYLZ	f	98,3	112,5	1	2
Pairing 1	6	2	L3	STFF	f	ET9A	f	SYLZ	f	99,2	119,6	2	1
Pairing 1	9	3	L3	STFF	f	ET9A	f	SYLZ	f	91,6	105,0	2	1
Pairing 2	2	1	L3	STFF	f	SYLZ	f	ET9A	f	102,7	128,5	2	1
Pairing 2	5	2	L3	STFF	f	SYLZ	f	ET9A	f	110,7	109,4	2	1
Pairing 2	8	3	L3	STFF	f	SYLZ	f	ET9A	f	99,6	128,1	1	2
Pairing 2	3	1	L3	SYLZ	f	ET9A	f	STFF	f	104,5	133,4	1	2
Pairing 2	6	2	L3	SYLZ	f	ET9A	f	STFF	f	107,6	128,1	2	1
Pairing 2	9	3	L3	SYLZ	f	ET9A	f	STFF	f	100,9	124,5	1	2
Pairing 1	2	1	L3	SYLZ	f	STFF	f	ET9A	f	103,6	117,9	2	1
Pairing 1	5	2	L3	SYLZ	f	STFF	f	ET9A	f	97,8	134,8	1	2
Pairing 1	8	3	L3	SYLZ	f	STFF	f	ET9A	f	100,9	130,8	1	2
Pairing 2	3	1	V7	U24Z	f	C0YZ	m	7847	f	134,3	170,5	2	1
Pairing 2	7	2	V7	U24Z	f	C0YZ	m	7847	f	163,7	236,6	2	1
Pairing 2	11	3	V7	U24Z	f	C0YZ	m	7847	f	133,9	182,4	1	2
Pairing 1	2	1	V7	U24Z	f	GONF	f	C0YZ	m	82,7	139,7	2	1
Pairing 1	6	2	V7	U24Z	f	GONF	f	C0YZ	m	84,5	107,6	1	2
Pairing 1	10	3	V7	U24Z	f	GONF	f	C0YZ	m	82,3	132,1	1	2
Pairing 2	2	1	G8	UQO6	f	96H6	f	Q1CO	f	101,8	140,5	2	1
Pairing 2	5	2	G8	UQO6	f	96H6	f	Q1CO	f	96,1	127,6	2	1
Pairing 2	8	3	G8	UQO6	f	96H6	f	Q1CO	f	97,4	127,2	1	2
Pairing 1	3	1	G8	UQO6	f	Q1CO	f	96H6	f	125,4	152,0	1	2
Pairing 1	6	2	G8	UQO6	f	Q1CO	f	96H6	f	115,6	152,6	1	2
Pairing 1	9	3	G8	UQO6	f	Q1CO	f	96H6	f	109,8	144,1	1	2
Pairing 2	2	1	V7	URX1	f	54W1	m	MXT3	m	209,5	200,2	1	2
Pairing 2	6	2	V7	URX1	f	54W1	m	MXT3	m	173,0	159,2	2	1
Pairing 2	10	3	V7	URX1	f	54W1	m	MXT3	m	158,3	239,8	1	2
Pairing 1	3	1	V7	URX1	f	MXT3	m	8YYM	f	153,0	200,6	2	1
Pairing 1	7	2	V7	URX1	f	MXT3	m	8YYM	f	148,6	230,0	2	1
Pairing 1	11	3	V7	URX1	f	MXT3	m	8YYM	f	153,0	229,1	1	2
Pairing 1	3	1	T0	UY8N	m	03Q1	m	XKHX	f	143,7	140,5	2	1
Pairing 1	6	2	T0	UY8N	m	03Q1	m	XKHX	f	152,6	158,8	1	2
Pairing 1	9	3	T0	UY8N	m	03Q1	m	XKHX	f	162,8	166,4	1	2
Pairing 2	2	1	T0	UY8N	m	XKHX	f	03Q1	m	118,7	149,9	1	2
Pairing 2	5	2	T0	UY8N	m	XKHX	f	03Q1	m	96,9	145,4	2	1
Pairing 2	8	3	T0	UY8N	m	XKHX	f	03Q1	m	100,1	133,0	2	1
Pairing 1	2	1	8J	VOFU	m	2ABW	f	FV50	m	97,4	118,7	1	2
Pairing 1	5	2	8J	VOFU	m	2ABW	f	FV50	m	102,3	121,4	1	2
Pairing 1	8	3	8J	VOFU	m	2ABW	f	FV50	m	96,1	121,9	2	1
Pairing 2	3	1	8J	VOFU	m	FV50	m	2ABW	f	146,3	203,3	2	1
Pairing 2	6	2	8J	VOFU	m	FV50	m	2ABW	f	149,9	218,4	2	1
Pairing 2	9	3	8J	VOFU	m	FV50	m	2ABW	f	214,8	250,0	2	1
Pairing 1	2	1	G8	W7B5	f	PIGD	m	QDH7	m	135,7	162,3	2	1
Pairing 1	6	2	G8	W7B5	f	PIGD	m	QDH7	m	145,4	161,0	2	1
Pairing 1	10	3	G8	W7B5	f	PIGD	m	QDH7	m	167,2	214,8	1	2
Pairing 2	3	1	G8	W7B5	f	QDH7	m	2BW9	f	224,2	244,2	1	2
Pairing 2	7	2	G8	W7B5	f	QDH7	m	2BW9	f	210,0	297,2	2	1
Pairing 2	11	3	G8	W7B5	f	QDH7	m	2BW9	f	221,1	331,0	1	2
Pairing 1	4	1	G8	WYMH	f	DQDJ	m	8LNG	m	166,4	206,4	1	2
Pairing 1	8	2	G8	WYMH	f	DQDJ	m	8LNG	m	188,7	226,0	2	1
Pairing 1	12	3	G8	WYMH	f	DQDJ	m	8LNG	m	204,5	200,4	2	1
Pairing 1	4	1	M1	XBJV	f	KIU5	f	SBJ4	f	154,8	177,9	2	1
Pairing 1	8	2	M1	XBJV	f	KIU5	f	SBJ4	f	120,1	207,3	2	1
Pairing 1	12	3	M1	XBJV	f	KIU5	f	SBJ4	f	126,3	147,0	2	1
Pairing 2	3	1	T0	XKHX	f	03Q1	m	UY8N	m	141,0	172,1	2	1
Pairing 2	6	2	T0	XKHX	f	03Q1	m	UY8N	m	148,6	164,1	2	1
Pairing 2	9	3	T0	XKHX	f	03Q1	m	UY8N	m	162,3	161,9	2	1
Pairing 1	2	1	T0	XKHX	f	UY8N	m	03Q1	m	225,5	286,9	2	1
Pairing 1	5	2	T0	XKHX	f	UY8N	m	03Q1	m	211,7	317,2	2	1
Pairing 1	8	3	T0	XKHX	f	UY8N	m	03Q1	m	220,6	304,7	2	1
Pairing 1	1	1	T0	XO3D	m	9OIM	f	E8FP	m	89,4	107,2	1	2
Pairing 1	5	2	T0	XO3D	m	9OIM	f	E8FP	m	91,2	139,2	1	2
Pairing 1	9	3	T0	XO3D	m	9OIM	f	E8FP	m	105,8	112,5	2	1
Pairing 2	1	1	T0	XO3D	m	E8FP	m	9OIM	f	164,6	194,4	2	1
Pairing 2	5	2	T0	XO3D	m	E8FP	m	9OIM	f	157,5	188,6	1	2
Pairing 2	9	3	T0	XO3D	m	E8FP	m	9OIM	f	155,4	180,0	1	2
Pairing 1	3	1	Y7	YX6H	f	HURM	m	I22H	f	176,0	218,0	2	1
Pairing 1	6	2	Y7	YX6H	f	HURM	m	I22H	f	189,0	271,0	1	2
Pairing 1	9	3	Y7	YX6H	f	HURM	m	I22H	f	199,0	197,0	1	2
Pairing 2	2	1	Y7	YX6H	f	I22H	f	HURM	m	107,0	129,0	1	2
Pairing 2	5	2	Y7	YX6H	f	I22H	f	HURM	m	107,0	133,0	2	1
Pairing 2	8	3	Y7	YX6H	f	I22H	f	HURM	m	110,0	131,0	2	1
Pairing 1	4	1	8J	ZQBM	m	FDHE	m	9MJ0	f	151,2	154,8	2	1
Pairing 1	8	2	8J	ZQBM	m	FDHE	m	9MJ0	f	164,1	169,9	1	2
Pairing 1	12	3	8J	ZQBM	m	FDHE	m	9MJ0	f	157,0	161,5	1	2
Pairing 2	4	1	8J	ZQBM	m	FDHE	m	J8KP	f	149,0	171,2	1	2
Pairing 2	8	2	8J	ZQBM	m	FDHE	m	J8KP	f	153,0	162,3	2	1
Pairing 2	12	3	8J	ZQBM	m	FDHE	m	J8KP	f	154,3	171,7	1	2
