Pairing	Group	Tester	Tester_Gender	Testee	Testee_Gender	Logger	Logger_Gender	Ext_Rot_N_Test1	Ext_Rot_N_Test2	Ext_Rot_N_Test3	Int_Rot_N_Test1	Int_Rot_N_Test2	Int_Rot_N_Test3
Pairing 1	M1	CV81	m	0W85	m	NE43	f	218,4	245,0	220,6	258,0	225,1	206,4
Pairing 1	M1	DM6E	f	MLS0	f	HOLJ	m	145,0	150,8	152,1	139,7	109,4	117,9
Pairing 1	M1	ESW0	f	R19W	m	OW8O	f	199,7	185,9	189,5	243,3	257,6	228,0
Pairing 1	M1	HOLJ	m	RNV5	f	DM6E	f	90,0	97,0	71,1	125,0	137,4	141,0
Pairing 1	M1	KIU5	f	SBJ4	f	MC2X	m	104,5	99,6	102,1	141,4	155,7	152,6
Pairing 1	M1	MC2X	m	XBJV	f	KIU5	f	74,5	77,2	80,6	96,4	92,3	87,3
Pairing 1	M1	MLS0	f	HOLJ	m	RNV5	f	182,8	203,7	147,2	303,8	268,5	264,2
Pairing 1	M1	NE43	f	B01W	f	CV81	m	99,6	99,2	125,4	129,0	121,9	130,3
Pairing 1	M1	OW8O	f	Q80H	m	ESW0	f	148,1	151,2	158,8	177,0	185,9	211,7
Pairing 1	M1	Q80H	m	ESW0	f	R19W	m	112,1	141,4	138,3	108,1	113,4	121,9
Pairing 1	M1	R19W	m	OW8O	f	Q80H	m	121,9	120,5	114,7	175,2	143,2	144,5
Pairing 1	M1	RNV5	f	DM6E	f	MLS0	f	125,5	136,1	141,0	174,4	128,1	120,5
Pairing 1	M1	SBJ4	f	MC2X	m	XBJV	f	162,8	146,8	164,5	173,9	175,7	180,2
Pairing 1	M1	XBJV	f	KIU5	f	SBJ4	f	154,8	120,1	126,3	177,9	207,3	147,0
Pairing 1	T0	03Q1	m	XKHX	f	UY8N	m	108,1	117,0	122,7	135,7	135,7	141,4
Pairing 1	T0	3Y7T	f	KGRE	f	EBNE	m	109,4	113,9	105,8	136,0	151,7	150,8
Pairing 1	T0	4N1T	f	3Y7T	f	KGRE	f	92,0	100,9	91,6	110,7	85,4	93,8
Pairing 1	T0	8SUE	f	C7WI	f	9EMF	f	90,7	83,6	96,5	78,3	109,8	90,7
Pairing 1	T0	9EMF	f	8SUE	f	C7WI	f	112,5	98,7	94,7	122,3	139,7	134,8
Pairing 1	T0	9EOO	f	XO3D	m	9OIM	f	196,6	171,7	167,2	214,0	196,6	205,5
Pairing 1	T0	9OIM	f	E8FP	m	9EOO	f	169,5	176,6	174,0	191,7	177,9	169,0
Pairing 1	T0	C7WI	f	9EMF	f	8SUE	f	88,5	84,5	79,1	82,7	100,9	107,6
Pairing 1	T0	E8FP	m	9EOO	f	XO3D	m	103,2	109,0	88,9	127,6	106,7	105,8
Pairing 1	T0	EBNE	m	4N1T	f	3Y7T	f	81,8	96,1	109,4	113,4	92,0	93,4
Pairing 1	T0	KGRE	f	EBNE	m	4N1T	f	125,0	132,0	138,4	119,6	181,0	188,6
Pairing 1	T0	UY8N	m	03Q1	m	XKHX	f	143,7	152,6	162,8	140,5	158,8	166,4
Pairing 1	T0	XKHX	f	UY8N	m	03Q1	m	225,5	211,7	220,6	286,9	317,2	304,7
Pairing 1	T0	XO3D	m	9OIM	f	E8FP	m	89,4	91,2	105,8	107,2	139,2	112,5
Pairing 1	V7	0G2E	f	GWZ3	f	IWEV	m	123,0	113,9	104,1	148,0	138,3	145,9
Pairing 1	V7	54W1	m	URX1	f	MXT3	m	84,0	82,7	94,3	137,9	130,3	165,5
Pairing 1	V7	71G1	m	QUVC	f	D63N	m	138,8	148,1	118,7	176,6	153,0	169,9
Pairing 1	V7	7847	f	U24Z	f	GONF	f	168,6	119,6	119,2	173,0	132,1	133,9
Pairing 1	V7	8YYM	f	54W1	m	URX1	f	175,2	194,4	184,6	195,3	229,5	213,1
Pairing 1	V7	C0YZ	m	7847	f	U24Z	f	144,1	154,8	137,9	173,0	197,9	183,3
Pairing 1	V7	C9QY	f	0G2E	f	GWZ3	f	125,9	110,3	128,5	160,6	177,0	111,2
Pairing 1	V7	D63N	m	FOEB	m	71G1	m	165,0	141,0	156,1	293,6	223,2	240,7
Pairing 1	V7	FOEB	m	71G1	m	QUVC	f	174,5	166,8	165,0	274,9	249,6	233,5
Pairing 1	V7	GONF	f	C0YZ	m	7847	f	166,4	161,5	142,8	142,3	222,9	176,6
